s,mu,omega
-0.5,0.08108108108108107,0.5
-0.47421052631578947,0.07657874606907102,0.5257894736842106
-0.44842105263157894,0.07211375691231238,0.5515789473684211
-0.4226315789473684,0.06768565086679217,0.5773684210526315
-0.3968421052631579,0.06329397280205942,0.6031578947368421
-0.37105263157894736,0.05893827504528353,0.6289473684210527
-0.3452631578947368,0.05461811722912966,0.6547368421052632
-0.3194736842105263,0.05033306614334283,0.6805263157894736
-0.29368421052631577,0.04608269558993558,0.7063157894736842
-0.26789473684210524,0.041866586241877536,0.7321052631578948
-0.24210526315789474,0.03768432550518842,0.7578947368421053
-0.2163157894736842,0.03353550738433922,0.7836842105263158
-0.19052631578947368,0.029419732350869584,0.8094736842105263
-0.16473684210526315,0.025336607215131816,0.8352631578947368
-0.13894736842105262,0.02128574500107503,0.8610526315789474
-0.11315789473684211,0.01726676482398608,0.8868421052631579
-0.08736842105263158,0.013279291771105536,0.9126315789473685
-0.06157894736842105,0.009322956785040774,0.9384210526315789
-0.035789473684210524,0.005397396549899453,0.9642105263157895
-0.01,0.0015022533800701065,0.99
